v1,v2,v3,v4,v5,O1
0.664828838,0.580728088,0.865578267,0.91746277,0.516625951,1.429343003
0.743663627,0.454653328,0.452416343,0.734875116,0.082722777,0.969397047
0.585031194,0.132207381,0.924343167,0.319295364,0.181421386,1.227241534
0.917839449,0.448064045,0.845911912,0.175286153,0.155642278,1.191135963
0.719267995,0.424397783,0.172910895,0.154600092,0.495172113,0.448079376
0.598664699,0.385219779,0.502026479,0.44990767,0.294008219,0.860724548
0.564203098,0.321951985,0.622343679,0.00676539,0.089117847,0.794231344
0.229473378,0.336146169,0.417772896,0.786696678,0.204796753,0.832876001
0.619634316,0.325405854,0.555759632,0.808113113,0.891425319,1.056948781
0.849351578,0.658444848,0.902351864,0.877906559,0.628535806,1.504369388
0.017237734,0.419038451,0.769474483,0.17262041,0.24902712,0.963614037
0.078780469,0.823299009,0.144553453,0.699504285,0.119341871,0.671202445
0.844836798,0.609932257,0.576722962,0.615030422,0.158528272,1.075934858
0.25711328,0.803921054,0.409664579,0.681664605,0.431656087,0.921643467
0.194012007,0.856687683,0.418949387,0.835083479,0.923707362,1.001456731
0.234311824,0.653635097,0.329561221,0.308663963,0.470344332,0.646905097
0.399683739,0.976323947,0.073851097,0.855460135,0.026511516,0.708925306
0.544974926,0.43483663,0.467708217,0.182750038,0.9224646,0.695791301
0.071478318,0.523194797,0.332954301,0.220269895,0.525662719,0.575257485
0.552615348,0.234656393,0.448428437,0.534783902,0.125426344,0.827969285
0.319222389,0.92936652,0.588042671,0.343994026,0.18146992,1.004120924
0.053002404,0.980385305,0.528511902,0.031190108,0.386197426,0.833612052
